Time,Speed,RPM,Throttle,Accel_Lon,Accel_Lat,Fuel,label
0,9.17,5317,100,0.394,-0.06,21.9953,0
0.05,9.97,5559,100,0.392,-0.07,21.9947,0
0.1,10.64,5749,100,0.391,-0.07,21.9941,0
0.15,11.27,5918,100,0.39,-0.09,21.9936,0
0.2,12.02,6105,96.27,0.388,-0.09,21.9929,0
0.25,12.69,6103,43.29,0.388,-0.1,21.9924,0
0.3,13.47,5733,0,0.389,-0.11,21.9922,0
0.35,14.11,5366,0,0.391,-0.11,21.9922,0
0.4,14.91,4910,0,0.394,-0.12,21.9922,0
0.45,15.55,4557,0,0.397,-0.14,21.9922,0
0.5,16.2,4218,0,0.396,-0.18,21.9922,0
0.55,16.88,3849,0,0.343,-0.21,21.9922,0
0.6,17.42,3568,0,0.306,-0.21,21.9922,0
0.65,18.11,3217,0,0.323,-0.23,21.9922,0
0.7,18.67,2941,0,0.335,-0.23,21.9922,0
0.75,19.25,2672,0,0.338,-0.23,21.9922,0
0.8,19.69,2465,0,-0.068,-0.21,21.9922,0
0.85,19.44,2514,0,-0.163,-0.19,21.9922,0
0.9,19.34,2501,6.01,-0.033,-0.2,21.9922,0
0.95,19.3,2523,35.27,-0.035,-0.19,21.9922,0
1,19.41,2614,63.13,0.129,-0.2,21.9922,0
1.05,19.86,2706,67.86,0.24,-0.2,21.992,0
1.1,20.25,2777,68.26,0.257,-0.19,21.9919,0
1.15,20.86,2898,71.42,0.289,-0.19,21.9918,0
1.2,21.38,3009,75.76,0.323,-0.18,21.9916,0
1.25,21.93,3116,75.76,0.343,-0.19,21.9914,0
1.3,22.66,3260,76.15,0.356,-0.17,21.9912,0
1.35,23.22,3371,76.94,0.381,-0.17,21.991,0
1.4,24.08,3520,71.42,0.406,-0.15,21.9907,0
1.45,24.75,3592,63.92,0.411,-0.14,21.9905,0
1.5,25.41,3629,58.79,0.403,-0.11,21.9903,1
1.55,26.25,3680,59.19,0.384,-0.08,21.9901,1
1.6,26.85,3750,62.74,0.379,-0.05,21.9899,1
1.65,27.46,3860,71.81,0.387,-0.03,21.9897,1
1.7,28.27,4080,82.07,0.423,0.01,21.9893,1
1.75,28.96,4265,82.47,0.436,0.03,21.989,1
1.8,29.7,4441,80.89,0.435,0.06,21.9886,1
1.85,30.57,4603,72.6,0.431,0.08,21.9882,1
1.9,31.25,4650,62.34,0.428,0.11,21.9879,1
1.95,32.06,4677,61.16,0.418,0.14,21.9876,1
2,32.72,4707,60.76,0.406,0.16,21.9873,1
2.05,33.55,4755,60.76,0.387,0.19,21.9869,1
2.1,34.16,4820,67.86,0.373,0.22,21.9866,1
2.15,34.77,4925,74.18,0.374,0.24,21.9863,1
2.2,35.52,5049,68.26,0.369,0.27,21.9858,1
2.25,36.07,5069,52.87,0.346,0.3,21.9855,1
2.3,36.72,4982,26.85,0.266,0.35,21.9853,1
2.35,37.05,4878,16.83,0.139,0.38,21.9852,1
2.4,37.16,4785,8.41,-0.031,0.4,21.9851,1
2.45,37.06,4740,4.81,-0.107,0.41,21.9851,1
2.5,36.85,4733,15.63,-0.116,0.42,21.985,1
2.55,36.73,4757,27.25,-0.072,0.43,21.985,1
2.6,36.72,4820,38.48,0.018,0.43,21.9848,1
2.65,36.83,4878,46.89,0.071,0.43,21.9847,1
2.7,37.07,4954,49.3,0.123,0.43,21.9844,1
2.75,37.29,5000,49.3,0.139,0.43,21.9842,1
2.8,37.31,5193,44.89,-0.064,0.44,21.984,1
2.85,37.25,5332,41.28,-0.063,0.44,21.9838,1
2.9,37.16,5494,40.08,-0.064,0.44,21.9835,1
2.95,37.06,5639,37.68,-0.065,0.45,21.9833,1
3,36.99,5732,36.87,-0.065,0.45,21.9831,1
3.05,37.51,4713,34.06,0.438,0.27,21.983,1
3.1,38.25,4131,31.26,0.216,0.41,21.983,1
3.15,38.69,3756,29.26,0.273,0.34,21.983,1
3.2,39.25,3296,28.05,0.281,0.3,21.983,1
3.25,39.81,2979,22.84,0.17,0.31,21.983,1
3.3,39.88,2959,13.23,-0.015,0.28,21.9829,0
3.35,39.86,2937,2,-0.04,0.22,21.9829,0
3.4,39.73,2926,0,-0.068,0.17,21.9829,0
3.45,39.63,2914,0,-0.083,0.14,21.9829,0
3.5,39.41,2887,0,-0.143,0.12,21.9829,0
3.55,39.14,2854,0,-0.211,0.11,21.9829,0
3.6,38.62,2801,0,-0.293,0.09,21.9829,0
3.65,38.14,2768,0,-0.307,0.08,21.9829,0
3.7,37.56,2728,0,-0.304,0.05,21.9829,0
3.75,37.08,2695,0,-0.302,0.02,21.9829,0
3.8,36.48,2669,0,-0.263,-0.03,21.9829,0
3.85,36.18,2666,0,-0.161,-0.07,21.9829,0
3.9,35.91,2655,0,-0.116,-0.11,21.9829,0
